path	added	removed	stage	status	evidence
codex-rs/core/src/agent/control/execution.rs	124	6	P2-P4	pending	
codex-rs/core/src/agent/control/execution_tests.rs	62	0	P2-P4	pending	
codex-rs/core/src/agent/control/legacy.rs	160	0	P2-P4	pending	
codex-rs/core/src/agent/control/spawn.rs	359	7	P2-P4	pending	
codex-rs/core/src/agent/control/spine.rs	48	0	P2-P4	pending	
codex-rs/core/src/agent/control_tests.rs	45	1	P2-P4	pending	
codex-rs/core/src/agent/registry.rs	42	11	P2-P4	pending	
codex-rs/core/src/agent/registry_tests.rs	18	0	P2-P4	pending	
codex-rs/core/src/client.rs	91	4	P2-P4	pending	
codex-rs/core/src/client_common.rs	11	1	P2-P4	pending	
codex-rs/core/src/compact.rs	5	4	P2-P4	pending	
codex-rs/core/src/compact_remote.rs	3	2	P2-P4	pending	
codex-rs/core/src/compact_remote_request.rs	3	2	P2-P4	pending	
codex-rs/core/src/compact_remote_v2.rs	3	2	P2-P4	pending	
codex-rs/core/src/compact_remote_v2_attempt.rs	3	2	P2-P4	pending	
codex-rs/core/src/compact_token_budget.rs	1	1	P2-P4	pending	
codex-rs/core/src/config/config_tests.rs	9	8	P2-P4	pending	
codex-rs/core/src/config/mod.rs	53	0	P2-P4	pending	
codex-rs/core/src/config_lock.rs	147	6	P2-P4	pending	
codex-rs/core/src/context/mod.rs	9	0	P2-P4	pending	
codex-rs/core/src/context/spine_context.rs	273	0	P2-P4	pending	
codex-rs/core/src/context/spine_context_tests.rs	154	0	P2-P4	pending	
codex-rs/core/src/context/world_state/multi_agent_mode.rs	32	0	P2-P4	pending	
codex-rs/core/src/context/world_state/multi_agent_mode_tests.rs	135	0	P2-P4	pending	
codex-rs/core/src/guardian/review_session.rs	68	0	P2-P4	pending	
codex-rs/core/src/lib.rs	3	0	P2-P4	pending	
codex-rs/core/src/prompt_debug.rs	1	1	P2-P4	pending	
codex-rs/core/src/realtime_context.rs	1	1	P2-P4	pending	
codex-rs/core/src/session/config_lock.rs	219	3	P2-P4	pending	
codex-rs/core/src/session/handlers.rs	10	0	P2-P4	pending	
codex-rs/core/src/session/input_queue.rs	421	0	P2-P4	pending	
codex-rs/core/src/session/mod.rs	65	17	P2-P4	pending	
codex-rs/core/src/session/rollout_reconstruction.rs	9	3	P2-P4	pending	
codex-rs/core/src/session/session.rs	29	0	P2-P4	pending	
codex-rs/core/src/session/tests.rs	588	5	P2-P4	pending	
codex-rs/core/src/session/turn.rs	59	22	P2-P4	pending	
codex-rs/core/src/session/world_state.rs	7	4	P2-P4	pending	
codex-rs/core/src/spine/config.rs	126	0	P2-P4	pending	
codex-rs/core/src/spine/config_tests.rs	107	0	P2-P4	pending	
codex-rs/core/src/spine/context_handler.rs	25	0	P2-P4	pending	
codex-rs/core/src/spine/context_plan.rs	155	0	P2-P4	pending	
codex-rs/core/src/spine/context_plan_tests.rs	186	0	P2-P4	pending	
codex-rs/core/src/spine/coordinator.rs	451	0	P2-P4	pending	
codex-rs/core/src/spine/coordinator/archive.rs	139	0	P2-P4	pending	
codex-rs/core/src/spine/coordinator/replay.rs	176	0	P2-P4	pending	
codex-rs/core/src/spine/coordinator/session.rs	312	0	P2-P4	pending	
codex-rs/core/src/spine/coordinator_tests.rs	1341	0	P2-P4	pending	
codex-rs/core/src/spine/memory_projection.rs	357	0	P2-P4	pending	
codex-rs/core/src/spine/mod.rs	495	0	P2-P4	pending	
codex-rs/core/src/spine/observer.rs	197	0	P2-P4	pending	
codex-rs/core/src/spine/persistence_baseline_tests.rs	159	0	P2-P4	pending	
codex-rs/core/src/spine/rollout_debug.rs	2103	0	P2-P4	pending	
codex-rs/core/src/spine/rollout_debug_tests.rs	719	0	P2-P4	pending	
codex-rs/core/src/spine/session_config.rs	45	0	P2-P4	pending	
codex-rs/core/src/spine/session_runtime.rs	159	0	P2-P4	pending	
codex-rs/core/src/spine/spawn.rs	998	0	P2-P4	pending	
codex-rs/core/src/spine/spawn_gate.rs	109	0	P2-P4	pending	
codex-rs/core/src/spine/spawn_gate_tests.rs	59	0	P2-P4	pending	
codex-rs/core/src/spine/spawn_recovery.rs	797	0	P2-P4	pending	
